"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Spuistraat Zuid";750;425;330;35;130;375;140;70;595;110;45;5;295;130;5;5;10;20;90;5;5;0;1;540;370;130;45;1,4;12604
"Begijnhofbuurt";450;195;255;10;70;225;70;70;340;55;45;0;170;85;10;5;10;5;70;5;4;0;2;350;265;75;5;1,3;6344
"Kalverdriehoek";330;185;145;15;75;170;55;15;275;40;10;0;130;65;0;5;0;10;55;0;3;5;6;230;150;65;15;1,4;6349
"Grachtengordel-West";6525;3405;3120;475;900;2335;1720;1100;4270;1695;425;140;2275;825;20;50;50;70;635;35;5;30;5;4185;2550;1120;510;1,6;14572
"Langestraat e.o.";1930;1025;905;175;230;625;505;390;1170;565;140;55;655;200;5;10;15;10;155;5;3;10;5;1180;685;335;165;1,6;19844
"Leliegracht e.o.";1850;935;915;130;335;640;475;265;1270;450;100;25;675;250;5;10;10;25;205;5;3;10;6;1210;770;305;135;1,5;13593
"Felix Meritisbuurt";2055;1085;970;135;235;815;560;320;1370;510;140;40;725;275;10;30;15;25;195;20;8;5;2;1330;805;355;170;1,5;12752
"Leidsegracht Noord";690;365;325;40;105;255;180;115;460;175;40;15;225;100;0;5;5;5;85;5;6;5;6;465;300;120;45;1,5;12959
"Grachtengordel-Zuid";5620;3030;2590;430;820;2205;1355;815;3790;1355;320;155;1925;825;30;45;60;65;625;30;5;25;5;3525;2130;955;440;1,6;10810
"Spiegelbuurt";830;460;375;75;95;330;220;105;550;220;45;20;335;140;0;5;10;10;115;5;4;0;4;515;305;140;70;1,6;10423
"Gouden Bocht";150;90;55;10;25;60;30;30;100;30;5;5;55;25;0;0;0;5;15;5;20;0;0;95;60;30;10;1,5;3223
"Van Loonbuurt";1435;740;690;85;235;475;375;260;905;385;100;45;420;140;10;15;10;20;90;10;6;10;6;890;535;230;120;1,6;11018
"Amstelveldbuurt";1535;790;740;140;200;510;435;250;990;415;85;45;445;195;10;15;25;15;130;15;7;0;3;925;540;240;145;1,7;13758
"Rembrandtpleinbuurt";600;340;260;45;65;355;95;45;435;125;40;5;215;195;5;5;5;10;165;0;0;0;2;405;255;115;35;1,5;10379
"Reguliersbuurt";410;235;180;20;115;220;50;5;355;50;15;0;200;75;0;5;5;0;70;0;2;0;2;295;195;80;15;1,4;10177
"Leidsegracht Zuid";665;375;290;50;80;260;155;120;460;145;35;35;260;60;5;5;5;5;40;5;6;10;17;405;240;115;50;1,6;12185
"Nieuwmarkt/Lastage";9760;5105;4655;705;1185;3375;2580;1915;6490;2120;895;250;2845;1670;100;65;260;120;1120;65;7;95;10;6375;4060;1485;825;1,5;13835
"Oosterdokseiland";470;275;195;55;20;205;130;50;295;125;40;5;115;145;10;5;40;15;75;5;6;0;0;270;135;85;50;1,8;3786
"Scheepvaarthuisbuurt";735;360;380;60;135;260;175;110;520;165;40;10;205;60;0;5;10;5;40;5;5;5;4;460;275;115;70;1,6;15299
"Rapenburg";990;480;505;90;215;360;220;105;710;210;55;10;340;170;10;10;25;20;110;5;6;0;1;630;380;160;95;1,6;10753
"Lastage";1090;565;525;75;135;415;285;170;770;225;80;10;335;135;15;10;15;15;90;10;7;10;7;690;395;195;95;1,6;20422
"Nieuwmarkt";1575;770;805;110;145;385;465;465;980;310;210;75;380;235;20;15;50;15;135;10;8;30;19;1040;710;200;135;1,5;26470
"Uilenburg";1230;645;585;80;130;455;345;220;795;295;115;30;380;275;15;5;30;20;205;10;10;10;9;820;525;195;105;1,5;15314
"Valkenburg";1180;595;580;90;135;380;300;275;740;280;125;40;365;200;5;0;35;10;140;10;10;20;17;800;545;160;95;1,5;17411
"Zuiderkerkbuurt";1635;955;680;80;175;600;440;350;1110;330;160;40;455;300;10;10;35;20;220;5;2;15;9;1075;715;235;120;1,5;24095
"Waterloopleinbuurt";850;445;405;65;90;300;220;175;580;175;80;15;265;155;5;5;25;10;105;10;9;5;8;580;385;135;60;1,5;7569
"Haarlemmerbuurt";9165;4610;4555;840;855;3065;2665;1735;5905;2145;850;265;2435;1695;220;80;315;105;975;65;7;70;8;5725;3470;1355;900;1,6;16922
"Westerdokseiland";1825;935;890;225;140;535;540;395;1035;555;180;65;440;475;60;15;125;35;245;20;12;5;4;995;450;325;215;1,8;11716
"Haarlemmerbuurt Oost";1495;765;730;95;185;560;400;265;1060;275;130;40;410;210;10;10;35;10;145;10;7;5;3;1005;655;235;115;1,5;16071
"Haarlemmerbuurt West";2415;1245;1175;195;250;835;700;440;1565;545;220;85;640;470;75;25;75;35;260;15;6;35;14;1505;935;340;230;1,6;22099
"Westelijke eilanden";2920;1405;1515;295;250;910;885;570;1865;710;280;65;810;435;60;20;60;25;270;15;5;15;7;1835;1150;395;300;1,6;19184
"Planciusbuurt Noord";335;175;160;15;20;170;85;35;265;40;25;5;100;60;5;5;10;5;40;5;6;0;6;260;195;40;20;1,3;18361
"Planciusbuurt Zuid";170;90;80;10;10;60;55;30;120;25;20;0;35;40;5;5;10;0;20;0;6;0;18;120;90;25;15;1,4;13334
"Jordaan";19515;9825;9690;1470;2125;7255;5280;3380;13565;3735;1710;500;5620;3105;345;170;455;300;1835;150;8;135;7;13095;8660;2810;1630;1,5;23391
"Driehoekbuurt";2705;1330;1370;220;265;1050;730;435;1885;525;235;60;765;410;40;25;60;25;255;25;9;15;6;1870;1270;375;230;1,4;27439
"Bloemgrachtbuurt";3020;1450;1570;255;370;1140;775;485;2090;615;255;65;965;425;35;20;45;45;275;15;5;15;5;1955;1245;440;270;1,5;26564
"Marnixbuurt Noord";1455;725;730;125;135;540;400;255;980;285;140;50;370;335;45;10;65;50;160;15;10;10;8;955;595;220;140;1,5;26308
"Zaagpoortbuurt";915;540;375;55;120;455;215;80;745;95;70;10;255;240;35;15;40;15;125;10;11;5;5;715;560;105;45;1,3;26195
"Marnixbuurt Midden";205;110;95;20;20;125;35;15;155;40;15;0;65;40;0;0;10;5;25;5;15;0;0;120;60;40;20;1,7;13495
"Elandsgrachtbuurt";4280;2170;2110;315;440;1590;1150;785;2910;880;395;95;1280;690;90;40;95;80;380;30;8;30;7;2825;1850;630;350;1,5;22680
"Passeerdersgrachtbuurt";905;500;410;50;90;350;240;180;645;155;70;30;275;150;10;10;15;15;95;5;4;5;9;630;430;145;55;1,4;19784
"Groenmarktkadebuurt";315;140;175;5;85;160;40;25;245;35;20;5;110;60;5;5;5;5;45;5;16;0;6;215;125;75;10;1,5;8754
"Marnixbuurt Zuid";665;355;315;30;45;270;135;190;420;105;75;70;205;120;15;5;10;10;75;5;7;15;22;505;395;80;25;1,3;16300
"Anjeliersbuurt Noord";2130;1050;1080;175;275;675;640;370;1455;450;170;50;550;230;25;10;30;25;145;15;7;15;5;1360;840;300;215;1,6;22500
"Anjeliersbuurt Zuid";2915;1455;1455;230;295;920;915;565;2040;550;265;65;780;410;45;25;70;20;250;25;8;20;6;1945;1285;385;275;1,5;26373
"De Weteringschans";7485;3830;3650;610;1055;3125;1710;985;5260;1630;455;145;2505;1150;55;75;110;105;805;65;9;25;4;4780;2945;1210;625;1,6;13463
"Leidsebuurt Noordwest";275;155;120;10;40;160;50;15;215;40;15;0;110;60;0;0;0;5;50;0;15;0;0;210;145;50;10;1,3;10918
"Leidsebuurt Zuidwest";150;70;75;0;40;55;35;20;110;20;15;0;60;40;5;5;5;5;25;0;20;0;7;110;80;20;10;1,4;5524
"Leidsebuurt Noordoost";1085;560;530;50;275;535;165;60;885;135;50;10;425;225;5;10;15;20;180;5;6;5;3;755;500;205;50;1,4;20147
"Leidsebuurt Zuidoost";320;170;150;35;45;115;80;40;220;75;15;10;105;60;0;5;15;5;40;0;0;0;3;195;115;50;30;1,6;7366
"Weteringbuurt";2420;1185;1235;230;280;1075;540;295;1760;495;120;40;800;335;20;20;35;35;230;30;11;10;4;1525;920;395;210;1,6;20357
"Den Texbuurt";1085;570;515;110;135;405;245;190;670;315;65;30;320;135;5;10;15;10;100;15;12;5;4;625;360;150;125;1,7;11429
"Utrechtsebuurt Zuid";1205;630;575;90;135;430;330;220;785;285;95;30;380;150;5;15;15;15;100;5;6;5;4;770;470;190;110;1,6;21067
"Frederikspleinbuurt";955;490;465;85;105;350;270;150;615;250;75;15;300;135;10;10;15;10;85;5;5;5;5;590;355;150;80;1,6;7011
"Weesperbuurt/Plantage";7310;3660;3640;595;1135;2655;1715;1210;5115;1490;520;180;2120;1120;65;60;185;80;730;65;9;90;13;4610;2895;1115;600;1,5;9411
"Weesperbuurt";3145;1575;1565;195;490;1160;675;625;2205;580;270;85;945;485;20;20;95;20;320;20;7;65;21;2055;1355;490;210;1,5;14835
"Sarphatistrook";1940;950;985;175;330;760;455;220;1415;385;100;35;545;355;30;20;55;40;215;25;13;5;2;1240;770;290;175;1,6;10623
"de Plantage";1830;935;900;175;275;565;490;330;1205;445;125;60;525;230;15;20;30;15;155;15;9;20;11;1075;630;265;175;1,6;5352
"Alexanderplein e.o.";390;200;190;50;40;175;95;40;290;75;25;10;105;55;0;5;5;5;40;0;8;0;3;235;140;60;35;1,6;9834
"Oostelijke Eilanden/Kadijken";13815;7040;6780;1345;1605;4695;3845;2330;9220;2985;1290;320;2895;3775;715;135;885;265;1775;120;9;110;8;8195;4970;1740;1485;1,6;13990
"Marine-Etablissement";85;50;35;10;5;25;30;15;50;25;5;0;10;20;0;0;0;0;20;0;0;0;0;35;15;15;10;1,8;514
"Kattenburg";1685;770;915;170;350;430;355;385;1015;440;165;60;340;415;60;15;100;35;200;15;7;15;8;1025;635;205;190;1,6;18840
"Wittenburg";2595;1455;1135;210;175;955;850;410;1735;480;325;50;445;1000;205;45;285;60;400;20;8;25;9;1350;820;280;250;1,6;20888
"Oostenburg";2010;1020;985;185;225;825;520;255;1415;390;170;35;425;705;130;15;175;65;315;25;12;10;6;1220;745;255;215;1,6;9954
"Czaar Peterbuurt";2340;1175;1165;235;280;1025;550;250;1700;370;230;45;550;685;145;25;155;45;305;30;13;30;12;1480;925;300;250;1,6;22531
"Het Funen";1280;650;630;240;155;325;415;135;795;375;80;25;270;280;65;10;45;20;145;10;9;0;2;615;270;130;210;2,1;17257
"Kazernebuurt";930;440;485;55;95;315;240;225;655;165;85;25;190;200;40;5;45;20;90;5;8;10;9;620;410;125;80;1,5;16958
"Kadijken";2895;1465;1425;240;320;800;885;655;1850;730;230;75;665;475;55;15;75;25;300;15;5;20;7;1855;1150;430;275;1,6;17030
"Westelijk Havengebied";670;295;375;5;520;120;10;15;640;20;5;0;480;125;5;5;5;10;105;0;0;0;0;645;630;5;5;1;33
"Coenhaven/Mercuriushaven";625;270;360;0;515;100;5;5;615;5;5;0;470;120;0;5;0;10;105;0;0;0;0;625;620;5;0;1;428
"Alfa-driehoek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Petroleumhaven";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;1;
"Westhaven Noord";25;10;10;5;0;15;0;5;15;10;0;0;0;5;0;0;0;0;0;0;0;0;0;10;5;5;5;1,7;6
"Vervoerscentrum";0;5;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;1;
"Amerikahaven";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Afrikahaven";5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;
"Westhaven Zuid";10;5;0;0;0;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1,8;
"Bedrijventerrein Sloterdijk";1095;645;455;50;355;580;90;10;970;90;35;0;360;535;65;20;85;45;320;10;8;0;1;900;780;90;30;1,2;152
"Sloterdijk II";15;10;5;0;0;10;5;0;15;5;5;0;5;5;0;0;0;0;5;0;59;0;0;15;10;0;0;1,4;37
"Sloterdijk III Oost";0;5;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;1;
"Sloterdijk III West";130;95;30;5;65;35;25;0;110;10;10;0;40;60;5;5;15;10;15;0;0;0;0;110;100;10;0;1,1;62
"De Heining";30;15;10;5;0;10;5;5;15;15;0;0;0;0;0;0;0;0;0;0;36;0;36;10;5;0;5;2,3;28
"Teleport";920;515;400;45;290;520;55;5;830;60;20;0;315;470;55;15;65;30;300;5;8;0;0;760;665;75;25;1,2;1079
"Bretten Oost";5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
"Bretten West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Houthavens";4385;2245;2145;895;230;1685;1140;435;2750;1330;230;75;1010;665;80;30;100;80;385;75;17;20;5;2095;860;585;650;2,1;10893
"Houthavens West";3735;1895;1840;845;185;1520;885;295;2350;1135;185;60;850;585;65;25;80;65;345;75;20;20;5;1690;630;460;595;2,2;9848
"Houthavens Oost";655;345;310;45;45;160;255;145;395;195;45;15;160;80;10;0;20;10;35;0;0;5;6;405;220;125;55;1,6;27792
"Spaarndammer- en Zeeheldenbuurt";10825;5360;5465;1305;970;4235;2860;1460;7435;2050;1075;265;2195;3530;870;140;785;260;1470;115;11;105;9;6375;3820;1275;1285;1,6;7926
"Zeeheldenbuurt";1945;950;1000;245;215;725;530;230;1345;375;190;40;420;670;200;25;140;35;270;25;13;10;4;1070;600;240;225;1,7;21315
"Spaarndammerbuurt Noordoost";2645;1325;1320;290;220;960;795;375;1795;500;290;55;475;975;240;45;200;85;405;30;10;25;8;1665;1055;295;320;1,6;26509
"Spaarndammerbuurt Zuidoost";1025;490;540;115;100;405;260;150;710;215;85;20;240;275;65;10;70;25;110;5;9;5;3;605;335;150;115;1,7;21059
"Spaarndammerbuurt Zuidwest";1840;930;905;200;175;715;365;390;1260;300;185;95;385;485;80;25;110;35;240;20;9;60;30;1085;710;210;165;1,5;24295
"Spaarndammerbuurt Midden";1460;735;725;215;120;625;385;110;1030;295;115;20;310;455;115;20;85;35;200;20;13;5;3;845;505;145;190;1,7;25443
"Spaarndammerbuurt Noordwest";1905;935;970;245;135;805;520;200;1290;370;205;35;360;675;175;25;175;50;250;25;11;5;4;1105;610;225;265;1,7;15952
"Westergasfabriek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Overbraker Binnenpolder";5;0;5;0;0;0;5;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;1,3;
"Staatsliedenbuurt";12910;6425;6485;1300;1265;5375;3530;1450;9275;2375;1060;200;3340;3460;875;120;575;275;1620;110;9;70;5;8035;4885;1735;1415;1,6;27288
"De Wittenbuurt Noord";1340;665;675;145;105;565;355;165;915;290;110;25;355;350;90;15;55;35;160;10;8;10;4;835;500;200;130;1,6;21124
"De Wittenbuurt Zuid";825;415;410;60;95;210;275;185;535;175;90;20;180;240;75;10;40;10;105;0;2;5;5;545;355;100;85;1,5;23270
"Staatsliedenbuurt Noordoost";1205;590;620;95;105;360;325;320;695;275;175;55;240;430;120;15;90;30;175;10;7;15;15;760;465;160;140;1,6;20409
"Fannius Scholtenbuurt";3670;1855;1815;390;315;1640;1030;300;2790;570;270;40;1045;1020;230;35;190;115;450;35;10;10;3;2330;1470;465;400;1,6;35363
"Westerstaatsman";2775;1370;1405;270;280;1385;695;150;2160;415;185;15;775;700;155;20;90;35;400;25;9;10;4;1770;1105;370;295;1,6;28227
"Buyskade e.o.";3090;1525;1565;335;365;1210;855;325;2175;650;225;45;740;725;195;30;115;55;330;35;10;15;5;1800;990;445;370;1,7;27380
"Centrale Markt";2390;1165;1220;270;265;755;765;335;1520;620;190;65;475;665;195;20;100;55;295;10;5;15;5;1265;645;280;345;1,9;4587
"Ecowijk";1255;600;655;150;175;285;485;160;770;350;110;25;235;315;105;10;50;20;140;5;4;0;2;625;280;130;215;2;19682
"Markthallen";20;15;5;0;0;5;0;5;10;5;5;0;10;0;0;0;0;0;0;0;0;0;53;15;5;0;0;1,6;74
"Bedrijvencentrum Westerkwartier";65;35;30;5;15;15;30;5;40;15;5;0;10;5;0;0;0;0;5;0;0;0;0;30;15;5;15;2;462
"Marcanti";1045;515;535;110;75;450;250;160;690;245;75;30;225;340;90;10;55;40;150;5;8;10;7;600;345;140;120;1,7;18013
"Frederik Hendrikbuurt";8305;4185;4125;715;750;3725;2005;1115;5980;1465;685;185;2230;1925;465;70;215;180;990;90;11;100;12;5170;3185;1240;745;1,6;23191
"Frederik Hendrikbuurt Noord";3860;1845;2015;365;400;1760;880;455;2820;700;280;60;1095;800;185;30;80;75;440;50;12;25;5;2375;1365;630;375;1,6;21090
"Frederik Hendrikbuurt Zuidoost";3245;1745;1500;265;255;1620;755;345;2420;500;275;45;870;855;190;40;95;80;450;35;11;45;14;2095;1415;435;245;1,5;28748
"Frederik Hendrikbuurt Zuidwest";1205;600;610;85;100;340;375;310;730;265;130;75;260;265;90;10;40;25;105;10;7;30;27;700;400;180;120;1,6;19315
"Da Costabuurt";4725;2330;2395;435;490;2115;1070;615;3430;880;325;90;1425;765;115;50;125;70;405;35;8;20;4;2950;1730;775;450;1,6;21743
"Da Costabuurt Noord";4725;2330;2395;440;490;2115;1070;615;3435;880;325;85;1430;765;115;50;125;75;405;35;8;20;4;2950;1730;780;445;1,6;21743
"Kinkerbuurt";6645;3355;3290;735;665;3180;1470;585;5055;1020;490;80;1715;1625;360;75;260;200;735;70;11;20;3;3920;2330;980;610;1,6;26349
"Bellamybuurt Noord";2565;1325;1240;275;225;1160;645;260;1935;395;195;35;600;630;170;30;115;75;240;25;10;10;4;1410;785;365;260;1,7;26703
"Bellamybuurt Zuid";4080;2025;2055;465;440;2025;825;325;3120;625;295;40;1115;1000;190;45;145;125;490;45;11;15;3;2510;1540;610;355;1,6;26131
"Van Lennepbuurt";6905;3395;3510;595;670;2885;1680;1075;4840;1250;630;190;1655;2230;605;70;400;245;915;55;8;75;10;4495;2960;890;645;1,5;27657
"Da Costabuurt Zuid";2220;1120;1100;165;255;1170;440;195;1750;335;120;20;700;435;75;20;65;35;240;10;4;10;3;1525;1030;335;160;1,5;30540
"Borgerbuurt";2805;1300;1505;270;250;835;775;675;1690;635;340;145;500;1225;410;25;250;150;395;20;7;50;19;1735;1130;300;310;1,6;24775
"Lootsbuurt";1870;970;900;160;160;885;470;205;1400;280;165;25;455;570;120;25;95;60;275;25;12;10;6;1240;805;260;180;1,5;29494
"Helmersbuurt";7485;3675;3815;790;835;3115;1830;920;5380;1515;485;105;2100;1170;125;65;175;95;710;80;11;40;5;4570;2695;1105;765;1,6;22366
"Helmersbuurt Oost";2560;1220;1340;285;345;1125;560;250;1840;560;135;30;805;325;15;25;45;25;220;30;12;10;4;1490;795;430;265;1,7;24714
"WG-terrein";2640;1315;1320;260;245;915;730;495;1760;585;235;55;640;525;90;25;95;50;275;15;6;20;8;1665;1060;335;270;1,6;16097
"Cremerbuurt Oost";2285;1135;1155;250;255;1080;540;165;1780;370;120;20;660;315;15;20;40;15;215;35;15;10;3;1410;845;340;230;1,6;34026
"Overtoomse Sluis";7825;3775;4055;775;765;3795;1705;785;5795;1425;480;120;2420;1165;125;60;155;125;695;100;13;35;4;4795;2800;1250;745;1,6;26264
"Cremerbuurt West";5640;2730;2905;560;520;2875;1195;480;4260;965;340;70;1800;855;110;50;90;95;520;70;13;20;4;3515;2050;925;540;1,6;28643
"Vondelparkbuurt West";2190;1040;1150;220;245;920;505;305;1540;460;140;50;615;305;15;15;70;30;175;30;12;10;5;1280;750;325;205;1,6;21638
"Vondelbuurt";1800;935;860;195;240;585;485;285;1160;465;135;35;580;300;50;20;45;30;165;10;5;10;6;1045;605;245;200;1,7;8292
"Vondelparkbuurt Oost";940;505;435;90;125;340;240;145;590;260;70;20;345;150;10;5;20;15;100;10;6;5;5;555;315;150;95;1,7;7500
"Vondelparkbuurt Midden";855;435;420;110;120;245;245;135;565;205;70;15;235;150;40;10;25;10;65;5;4;10;7;490;290;95;105;1,7;9386
"Zuidas";4285;2295;1990;435;650;2460;590;155;3065;1040;160;20;1370;1500;70;30;125;150;1125;60;14;5;2;2845;1870;605;370;1,5;2019
"Zuidas Noord";505;280;225;60;25;345;50;20;350;145;15;0;125;185;5;5;0;20;155;15;28;0;2;300;170;75;50;1,6;634
"RAI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
"VU-kwartier";150;90;60;20;10;90;25;5;110;35;5;0;45;65;0;0;5;5;60;0;0;0;0;105;80;15;10;1,5;319
"Zuidas Zuid";2610;1430;1180;315;175;1545;455;125;1695;765;130;20;870;910;60;15;85;90;660;35;13;5;2;1545;810;455;280;1,7;12030
"Vivaldi";1025;500;530;40;440;485;55;10;915;95;15;0;325;345;10;15;30;40;255;10;13;0;2;900;810;55;30;1,1;3539
"Oude Pijp";14640;7315;7320;1110;1895;7055;3125;1460;11120;2380;950;190;4445;3075;400;145;450;295;1790;105;7;55;4;9790;6330;2305;1150;1,5;23122
"Hemonybuurt";2570;1310;1255;245;315;1195;590;225;1915;485;145;25;780;440;45;30;75;35;265;25;9;15;5;1625;995;395;235;1,6;21961
"Gerard Doubuurt";1960;1020;940;140;230;930;430;230;1440;330;150;35;570;520;100;30;65;40;280;5;4;10;4;1330;880;290;155;1,5;19742
"Frans Halsbuurt";2600;1295;1305;210;295;1265;590;245;1970;430;165;35;880;460;50;25;45;40;300;20;8;5;2;1745;1145;380;220;1,5;23532
"Hercules Seghersbuurt";2530;1225;1300;195;320;1240;520;260;1945;370;185;30;705;660;105;25;110;85;340;20;8;10;5;1715;1130;390;200;1,5;31642
