"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Uilenburg";1225;650;575;80;115;460;365;200;775;305;120;25;355;250;15;5;25;20;190;5;7;5;3;825;535;190;100;1,5;15227
"Valkenburg";1200;615;585;100;115;380;330;270;710;300;145;45;360;190;10;10;35;10;130;10;7;15;11;805;535;165;100;1,5;17691
"Zuiderkerkbuurt";1495;845;655;80;150;480;475;320;975;335;150;40;400;210;15;5;35;20;135;10;9;15;10;1040;715;205;120;1,4;22021
"Waterloopleinbuurt";865;460;405;70;100;290;240;165;575;190;80;20;245;150;5;5;25;5;100;10;12;5;7;600;415;120;70;1,4;7703
"Haarlemmerbuurt";9275;4645;4630;930;815;3130;2775;1625;5915;2250;860;255;2330;1685;205;75;355;90;965;80;9;65;7;5675;3380;1325;970;1,6;16948
"Westerdokseiland";1880;965;915;255;135;550;565;375;1050;600;175;55;405;470;55;20;130;35;225;20;10;5;5;1000;445;325;225;1,9;11665
"Haarlemmerbuurt Oost";1490;745;740;110;160;545;425;245;1010;300;135;35;405;210;15;5;40;10;145;10;7;10;6;990;655;215;125;1,5;15953
"Haarlemmerbuurt West";2465;1260;1210;230;240;860;725;420;1600;550;235;80;655;450;70;20;95;30;240;15;6;30;12;1500;910;330;260;1,6;22537
"Westelijke eilanden";2930;1415;1515;305;250;930;920;525;1845;735;270;70;725;455;55;20;70;20;295;25;8;15;5;1805;1100;380;320;1,6;19180
"Planciusbuurt Noord";350;180;175;25;20;190;85;35;285;35;20;10;110;65;0;10;15;5;40;10;23;5;3;260;185;50;25;1,4;19296
"Planciusbuurt Zuid";165;85;75;10;10;65;55;30;120;25;20;0;35;35;5;5;10;0;20;0;6;0;6;125;90;20;10;1,4;12941
"Jordaan";19400;9840;9565;1515;1890;7335;5395;3270;13275;3970;1685;480;5455;2845;345;175;470;225;1630;185;9;130;7;12945;8505;2770;1670;1,5;23247
"Driehoekbuurt";2735;1380;1355;210;240;1145;730;415;1905;545;230;50;770;360;30;25;50;20;230;30;12;15;5;1855;1220;415;225;1,5;27785
"Bloemgrachtbuurt";2945;1440;1505;275;305;1080;795;490;1975;655;255;60;890;375;35;25;50;30;235;30;11;15;6;1855;1135;440;280;1,6;25913
"Marnixbuurt Noord";1430;705;720;120;135;520;410;240;950;300;135;50;355;305;45;10;80;30;145;15;10;10;7;920;570;205;145;1,6;25839
"Zaagpoortbuurt";965;540;420;50;125;515;205;75;770;110;75;10;295;235;40;15;45;15;110;10;15;5;4;755;595;115;50;1,3;27438
"Marnixbuurt Midden";195;110;85;15;20;120;30;10;150;35;10;0;55;40;0;0;10;5;25;5;21;0;0;125;65;35;15;1,6;12632
"Elandsgrachtbuurt";4325;2200;2125;350;420;1630;1200;740;2915;925;385;105;1290;630;90;40;100;60;340;40;9;30;6;2890;1905;610;375;1,5;22934
"Passeerdersgrachtbuurt";860;450;415;50;80;315;240;170;600;165;70;30;245;115;10;10;20;10;65;5;5;10;8;605;420;130;55;1,4;18887
"Groenmarktkadebuurt";245;120;120;10;45;145;30;15;200;30;10;10;85;45;5;5;0;5;25;0;4;0;4;170;110;55;10;1,4;6824
"Marnixbuurt Zuid";675;360;315;30;30;290;135;195;425;110;75;60;190;110;15;5;15;10;65;0;6;15;25;515;405;85;30;1,3;16427
"Anjeliersbuurt Noord";2085;1050;1035;185;235;645;650;370;1395;470;165;55;525;235;30;10;35;15;145;15;7;10;5;1315;810;285;220;1,6;22014
"Anjeliersbuurt Zuid";2935;1480;1455;225;260;935;970;545;1990;620;270;55;750;390;45;20;70;25;240;25;8;20;7;1940;1275;390;280;1,5;26563
"De Weteringschans";7295;3775;3525;685;870;3030;1750;955;5020;1705;440;135;2360;955;50;60;95;75;680;65;9;25;4;4565;2760;1155;650;1,6;13122
"Leidsebuurt Noordwest";260;150;105;5;40;135;60;20;205;40;15;5;95;45;0;0;5;5;30;5;4;0;4;190;130;50;10;1,3;10358
"Leidsebuurt Zuidwest";135;65;70;5;20;65;30;15;90;30;10;0;55;25;0;0;0;0;20;0;0;0;8;90;65;20;10;1,4;4825
"Leidsebuurt Noordoost";1010;505;500;45;205;535;155;70;805;140;55;10;390;185;5;5;10;20;145;5;6;5;5;700;460;190;50;1,4;18717
"Leidsebuurt Zuidoost";290;155;140;35;30;110;75;40;195;75;15;10;80;50;0;5;5;0;40;5;17;0;0;190;135;30;25;1,5;6720
"Weteringbuurt";2425;1205;1220;280;250;1070;545;280;1735;535;125;35;785;290;20;15;25;25;205;25;10;10;4;1475;855;395;230;1,6;20441
"Den Texbuurt";1080;590;490;130;115;375;275;190;655;340;60;30;335;120;5;10;15;10;90;10;11;0;2;610;335;145;130;1,8;11349
"Utrechtsebuurt Zuid";1170;615;555;100;125;410;340;205;745;300;100;25;335;125;5;15;15;5;85;5;5;5;4;745;445;190;105;1,6;20647
"Frederikspleinbuurt";925;475;450;95;85;330;275;140;595;245;65;20;285;115;10;10;15;10;70;10;10;0;3;560;335;140;90;1,6;6813
"Weesperbuurt/Plantage";7480;3890;3590;635;990;2745;1940;1170;5150;1570;585;180;2060;1225;105;55;225;70;765;70;10;75;10;4560;2950;1005;610;1,5;9633
"Weesperbuurt";3105;1585;1525;205;480;1120;720;585;2120;640;265;90;890;480;25;20;95;25;320;25;8;60;18;2045;1400;435;215;1,4;14665
"Sarphatistrook";2170;1185;990;185;255;895;625;215;1575;405;165;30;580;480;70;20;100;30;260;20;11;5;3;1200;760;265;170;1,6;11904
"de Plantage";1805;920;890;190;225;550;510;335;1155;465;135;55;480;225;15;15;30;15;150;20;10;10;7;1070;640;250;185;1,6;5285
"Alexanderplein e.o.";395;205;185;55;35;180;85;35;295;70;20;5;105;45;0;5;0;5;35;5;13;5;3;240;150;50;45;1,6;9784
"Oostelijke Eilanden/Kadijken";13690;6965;6720;1450;1635;4540;3945;2115;9085;3020;1300;285;2875;3565;660;145;865;260;1645;115;9;75;6;8045;4810;1670;1565;1,6;13870
"Marine-Etablissement";75;50;30;10;0;30;30;10;45;20;5;0;10;15;0;0;0;0;20;0;13;5;13;35;15;5;10;1,7;456
"Kattenburg";1725;805;915;165;355;475;370;360;1055;450;165;55;325;405;55;15;105;35;195;10;5;10;6;1065;675;200;190;1,6;19254
"Wittenburg";2560;1425;1135;225;215;895;860;370;1700;485;330;45;480;905;170;50;275;60;350;30;11;5;3;1345;790;275;285;1,6;20598
"Oostenburg";1730;890;845;195;175;620;515;230;1125;405;170;35;345;580;115;15;160;55;230;15;10;10;5;985;555;205;220;1,7;8577
"Czaar Peterbuurt";2395;1210;1190;265;265;1115;520;245;1755;380;220;40;545;715;145;30;165;45;325;25;10;30;13;1480;900;315;265;1,6;23069
"Het Funen";1340;670;670;275;190;335;415;130;855;385;80;20;335;290;70;10;40;20;145;10;7;0;2;640;290;140;215;2,1;18136
"Kazernebuurt";955;455;500;55;130;290;280;200;665;180;85;20;190;200;40;10;45;20;85;5;5;0;1;630;410;125;95;1,5;17470
"Kadijken";2905;1475;1435;260;310;790;965;585;1885;720;240;65;660;455;55;15;75;25;285;20;8;20;6;1865;1170;405;285;1,6;17107
"Westelijk Havengebied";105;70;35;5;15;40;25;15;65;30;10;0;25;25;0;0;5;5;10;0;19;0;9;70;55;5;10;1,5;5
"Coenhaven/Mercuriushaven";25;15;15;0;5;10;5;0;20;5;5;0;10;0;0;0;0;0;0;0;0;0;0;15;15;0;0;1,5;19
"Alfa-driehoek";0;0;0;0;0;0;5;0;5;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;1;
"Petroleumhaven";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;
"Westhaven Noord";40;25;15;0;5;15;5;10;20;15;0;0;0;10;0;0;5;10;0;5;26;0;0;20;10;0;5;1,9;10
"Vervoerscentrum";5;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;
"Amerikahaven";15;15;5;0;0;0;10;5;10;0;5;0;5;0;0;0;0;0;0;0;0;0;71;10;15;0;0;1,2;2
"Afrikahaven";10;5;5;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,8;
"Westhaven Zuid";15;10;0;0;0;10;0;0;10;5;0;0;5;5;0;0;5;5;0;0;91;0;0;10;5;5;0;1,6;26
"Bedrijventerrein Sloterdijk";835;480;355;10;360;410;45;5;775;45;15;0;350;280;25;15;30;20;190;5;2;0;0;705;595;100;10;1,2;116
"Sloterdijk II";15;10;5;0;5;0;10;0;10;5;0;0;5;5;0;0;0;0;5;0;0;0;0;15;10;0;5;1,4;32
"Sloterdijk III Oost";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Sloterdijk III West";95;75;20;0;40;30;15;0;75;10;10;0;25;45;5;0;10;5;10;0;0;0;0;80;70;5;5;1,2;44
"De Heining";30;20;10;0;0;5;10;5;15;10;5;0;5;0;0;0;5;0;0;0;0;0;0;10;5;0;5;2,2;28
"Teleport";695;380;315;0;320;370;10;0;670;25;0;0;320;235;15;5;15;15;175;5;3;0;0;600;505;95;0;1,2;817
"Bretten Oost";0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;
"Bretten West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Houthavens";2950;1515;1430;550;165;1185;805;245;1865;880;160;40;670;385;50;15;60;35;220;65;23;15;4;1490;645;415;430;2;8989
"Houthavens West";2280;1175;1110;490;120;1010;535;120;1480;670;110;20;500;305;35;15;40;25;185;65;28;10;5;1075;410;305;365;2,1;7480
"Houthavens Oost";670;345;325;60;40;170;265;130;390;210;55;15;170;75;10;5;20;10;35;5;4;0;3;415;240;110;65;1,6;28896
"Spaarndammer- en Zeeheldenbuurt";10780;5360;5420;1380;875;4260;2885;1380;7370;2055;1085;265;2060;3480;880;150;845;250;1360;120;11;105;10;6260;3705;1240;1315;1,7;7890
"Zeeheldenbuurt";2055;1010;1045;315;185;805;520;230;1450;390;185;30;415;715;220;20;155;30;280;20;10;5;3;1080;595;235;245;1,8;22444
"Spaarndammerbuurt Noordoost";2730;1360;1365;320;235;960;870;345;1815;530;320;60;465;1000;245;50;230;100;375;30;11;20;7;1700;1070;280;345;1,6;27341
"Spaarndammerbuurt Zuidoost";1025;490;535;120;75;400;290;140;705;215;85;20;210;270;65;10;70;20;100;10;11;5;5;625;370;135;115;1,6;20898
"Spaarndammerbuurt Zuidwest";1685;845;845;205;105;655;360;365;1120;295;175;95;375;410;70;30;110;25;175;20;12;50;29;940;575;195;175;1,6;22236
"Spaarndammerbuurt Midden";1300;665;630;165;110;575;330;115;925;245;105;20;245;390;85;15;90;30;165;10;10;10;6;775;465;155;155;1,7;22636
"Spaarndammerbuurt Noordwest";1980;990;995;255;150;870;520;190;1350;375;215;35;345;700;185;25;185;50;260;25;14;15;8;1135;630;240;270;1,7;16623
"Westergasfabriek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Overbraker Binnenpolder";10;0;5;0;5;0;5;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;125;5;0;0;0;1,5;
"Staatsliedenbuurt";13105;6550;6550;1460;1165;5615;3555;1310;9330;2525;1050;195;3190;3385;880;125;580;280;1520;135;10;60;5;7980;4750;1725;1505;1,6;27685
"De Wittenbuurt Noord";1365;685;680;170;120;550;365;160;905;320;115;30;320;350;90;15;50;35;160;15;10;10;6;825;495;180;150;1,6;21442
"De Wittenbuurt Zuid";885;445;440;85;80;245;305;160;560;205;95;20;185;250;75;10;40;5;120;5;7;5;6;565;365;95;100;1,6;24846
"Staatsliedenbuurt Noordoost";1215;595;615;110;90;370;345;300;700;280;170;60;230;420;115;10;90;35;170;10;9;20;16;770;480;150;140;1,6;20598
"Fannius Scholtenbuurt";3690;1870;1820;410;320;1700;990;270;2800;590;260;40;965;980;235;30;190;115;410;40;12;15;4;2330;1450;460;420;1,6;35527
"Westerstaatsman";2875;1430;1445;300;270;1500;680;125;2240;430;185;15;800;680;165;25;95;30;370;25;9;10;2;1780;1085;390;305;1,6;29193
"Buyskade e.o.";3080;1530;1550;385;290;1245;870;295;2130;695;215;35;695;695;200;35;115;55;290;35;12;10;3;1710;875;450;390;1,8;27274
"Centrale Markt";2465;1170;1295;305;315;755;815;280;1585;610;205;65;500;635;200;25;100;50;260;25;10;10;4;1305;665;260;375;1,9;4741
"Ecowijk";1315;615;700;190;200;290;515;120;835;345;110;25;255;305;105;10;50;15;120;15;10;5;4;630;265;115;245;2,1;20655
"Markthallen";15;5;5;0;0;5;0;5;5;5;0;5;5;0;0;0;0;0;0;0;77;0;0;5;5;0;0;1,9;50
"Bedrijvencentrum Westerkwartier";70;40;30;10;5;15;35;0;40;20;5;5;10;5;0;0;0;0;5;0;29;0;0;35;15;5;15;2;491
"Marcanti";1070;510;560;105;110;440;270;150;710;245;85;30;235;330;95;15;55;30;130;10;8;5;4;635;380;135;115;1,6;18357
"Frederik Hendrikbuurt";8280;4160;4125;785;655;3815;2030;990;5950;1515;650;155;2085;1830;485;70;220;170;880;115;14;65;8;5155;3180;1180;795;1,6;23076
"Frederik Hendrikbuurt Noord";3855;1850;2000;390;340;1800;885;440;2795;695;300;65;1035;760;200;30;80;70;380;60;15;30;8;2375;1400;580;400;1,6;21051
"Frederik Hendrikbuurt Zuidoost";3290;1740;1550;285;225;1685;765;330;2440;540;260;50;810;815;190;35;105;75;405;45;13;25;8;2110;1410;440;260;1,5;29062
"Frederik Hendrikbuurt Zuidwest";1135;565;575;110;90;335;385;215;710;285;95;45;235;255;95;5;35;20;95;10;12;10;7;680;375;165;140;1,7;18162
"Da Costabuurt";4660;2350;2305;465;405;2100;1100;595;3325;915;325;90;1310;740;120;45;130;70;380;45;9;20;4;2900;1715;740;445;1,6;21439
"Da Costabuurt Noord";4660;2355;2310;465;400;2100;1100;595;3325;915;330;95;1310;740;115;40;130;65;380;40;9;20;4;2895;1710;745;445;1,6;21439
"Kinkerbuurt";6670;3375;3295;725;635;3255;1500;560;4965;1100;525;80;1585;1640;420;75;270;195;680;90;13;25;4;3940;2405;920;615;1,6;26452
"Bellamybuurt Noord";2710;1425;1285;295;245;1225;695;250;1990;465;225;35;555;740;230;35;120;80;270;30;11;15;6;1475;865;350;260;1,6;28245
"Bellamybuurt Zuid";3955;1950;2010;425;390;2030;805;310;2980;640;300;45;1025;905;190;35;150;115;410;60;15;15;4;2465;1545;565;355;1,6;25349
"Van Lennepbuurt";7085;3525;3560;655;675;2975;1775;1005;4920;1315;655;190;1655;2235;620;65;410;255;885;70;10;60;8;4550;2955;895;695;1,6;28378
"Da Costabuurt Zuid";2275;1180;1090;200;250;1200;455;170;1795;335;125;20;695;425;70;20;55;35;240;20;8;5;2;1515;990;340;180;1,5;31241
"Borgerbuurt";2900;1370;1535;285;275;885;815;645;1755;655;355;140;505;1245;415;25;260;155;390;30;10;45;15;1780;1160;295;330;1,6;25613
"Lootsbuurt";1910;970;930;180;155;890;495;190;1375;325;175;25;450;565;135;20;90;65;255;25;12;10;7;1255;810;260;185;1,5;30029
"Helmersbuurt";7360;3590;3770;815;765;3070;1860;845;5225;1515;515;105;2030;1015;120;70;170;80;575;80;11;25;3;4435;2575;1075;785;1,7;21968
"Helmersbuurt Oost";2595;1240;1355;310;310;1155;565;255;1840;585;145;25;775;295;30;20;35;20;190;30;12;10;4;1510;830;405;270;1,7;25017
"WG-terrein";2470;1215;1255;245;230;815;745;435;1640;545;240;55;605;430;70;20;90;45;200;20;9;10;4;1540;945;310;275;1,6;15084
"Cremerbuurt Oost";2290;1135;1160;260;230;1100;545;155;1750;390;135;20;650;295;25;25;40;15;185;30;13;0;1;1390;800;355;240;1,6;34040
"Overtoomse Sluis";8010;3920;4085;855;725;3960;1745;720;5865;1515;510;120;2345;1150;120;70;170;120;680;120;15;20;2;4810;2750;1260;810;1,6;26868
"Cremerbuurt West";5755;2845;2905;595;490;3000;1235;435;4275;1035;375;65;1730;845;110;50;100;90;500;90;16;10;2;3535;2020;945;565;1,6;29248
"Vondelparkbuurt West";2250;1075;1175;260;235;965;510;280;1585;475;140;55;615;305;15;20;65;25;180;25;12;5;3;1285;730;315;240;1,7;22241
"Vondelbuurt";1770;910;855;225;200;520;475;345;1110;440;150;65;525;285;45;20;35;25;160;5;3;35;21;970;565;200;200;1,7;8163
"Vondelparkbuurt Oost";850;465;390;100;95;295;225;135;540;235;60;20;285;130;10;5;15;15;90;5;6;5;6;495;285;110;95;1,7;6768
"Vondelparkbuurt Midden";920;450;465;125;105;230;255;205;580;205;90;45;240;155;35;10;25;15;70;0;0;30;35;480;280;95;110;1,8;10089
"Zuidas";3950;2120;1830;410;600;2315;495;130;2790;1020;130;10;1195;1395;65;40;105;105;1080;65;16;5;1;2630;1745;540;350;1,5;1864
"Zuidas Noord";475;275;205;60;25;315;60;15;325;145;10;0;110;170;5;5;5;15;140;5;17;0;0;280;155;75;50;1,7;598
"RAI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"VU-kwartier";115;60;55;20;15;55;15;5;85;30;0;0;25;55;0;0;5;5;55;5;17;5;9;80;65;10;10;1,4;258
"Zuidas Zuid";2375;1305;1065;285;130;1485;375;105;1520;740;100;10;740;870;50;20;70;60;665;50;20;0;1;1405;740;415;255;1,7;10946
"Vivaldi";985;475;505;50;430;455;45;5;865;105;10;0;315;305;5;15;25;30;225;5;5;0;0;865;790;35;40;1,1;3388
"Oude Pijp";14820;7460;7360;1270;1745;7220;3220;1360;11145;2545;945;185;4250;2915;390;140;470;255;1665;145;10;50;3;9765;6240;2270;1260;1,5;23344
"Hemonybuurt";2600;1315;1285;295;325;1155;605;210;1920;515;140;30;745;400;40;30;70;30;230;35;14;10;3;1630;995;370;265;1,6;22234
"Gerard Doubuurt";1920;990;930;170;205;880;455;215;1390;355;150;30;555;440;95;25;65;35;220;15;7;5;1;1265;810;285;175;1,5;19379
"Frans Halsbuurt";2645;1315;1330;235;275;1330;580;225;1985;460;160;40;855;475;50;20;55;25;315;20;8;10;3;1745;1115;390;235;1,5;23637
"Hercules Seghersbuurt";2645;1320;1325;195;315;1365;530;240;2035;410;175;25;690;655;105;25;110;90;330;30;12;10;2;1780;1160;420;200;1,5;33132
